house,member,n_questions
Lok Sabha,Shri Gurmeet Singh Meet Hayer,79
Lok Sabha,Shri Malvinder Singh Kang,56
Lok Sabha,Dr. Raj Kumar Chabbewal,34
Lok Sabha,SADHU SINGH,32
Lok Sabha,Bhagwant Mann,29
Lok Sabha,BHAGWANT MANN,23
Lok Sabha,HARINDER SINGH KHALSA,16
Rajya Sabha,Sanjay Singh,447
Rajya Sabha,Sushil Kumar Gupta,416
Rajya Sabha,Narain Dass Gupta,334
Rajya Sabha,Ashok Kumar Mittal,252
Rajya Sabha,Raghav Chadha,246
Rajya Sabha,Sanjeev Arora,216
Rajya Sabha,Vikramjit Singh Sahney,192
Rajya Sabha,Harbhajan Singh,158
Rajya Sabha,Sant Balbir Singh,149
Rajya Sabha,Sandeep Kumar Pathak,147
Rajya Sabha,Swati Maliwal,10
