date,Jan Lokpal,mohalla clinic,revadi
2012-01-01,72,0,2
2012-02-01,35,0,0
2012-03-01,25,0,0
2012-04-01,17,0,0
2012-05-01,19,0,0
2012-06-01,16,0,3
2012-07-01,16,0,0
2012-08-01,29,0,2
2012-09-01,15,0,2
2012-10-01,12,0,0
2012-11-01,10,0,0
2012-12-01,7,0,0
2013-01-01,8,0,3
2013-02-01,9,0,0
2013-03-01,7,0,0
2013-04-01,5,0,1
2013-05-01,3,0,0
2013-06-01,3,0,0
2013-07-01,5,0,0
2013-08-01,5,0,1
2013-09-01,6,0,2
2013-10-01,6,0,0
2013-11-01,6,0,0
2013-12-01,85,0,0
2014-01-01,29,0,2
2014-02-01,100,0,2
2014-03-01,14,0,2
2014-04-01,12,0,2
2014-05-01,7,0,1
2014-06-01,4,0,1
2014-07-01,3,0,2
2014-08-01,3,0,1
2014-09-01,3,0,1
2014-10-01,2,0,2
2014-11-01,3,0,1
2014-12-01,3,0,1
2015-01-01,5,0,2
2015-02-01,13,0,1
2015-03-01,3,0,1
2015-04-01,4,0,1
2015-05-01,3,0,1
2015-06-01,2,0,2
2015-07-01,2,2,2
2015-08-01,1,1,2
2015-09-01,2,1,1
2015-10-01,3,0,2
2015-11-01,20,1,2
2015-12-01,12,1,2
2016-01-01,1,1,2
2016-02-01,3,1,2
2016-03-01,1,5,2
2016-04-01,1,7,2
2016-05-01,1,3,2
2016-06-01,2,3,2
2016-07-01,2,5,3
2016-08-01,1,6,2
2016-09-01,2,5,3
2016-10-01,1,3,2
2016-11-01,3,2,2
2016-12-01,1,2,2
2017-01-01,1,3,3
2017-02-01,1,5,1
2017-03-01,1,11,1
2017-04-01,1,4,2
2017-05-01,1,3,1
2017-06-01,1,2,2
2017-07-01,1,3,2
2017-08-01,1,3,2
2017-09-01,1,6,2
2017-10-01,2,5,2
2017-11-01,2,3,2
2017-12-01,2,4,2
2018-01-01,1,2,2
2018-02-01,1,4,1
2018-03-01,1,4,1
2018-04-01,1,3,1
2018-05-01,1,3,1
2018-06-01,1,5,2
2018-07-01,1,4,2
2018-08-01,2,4,1
2018-09-01,0,6,3
2018-10-01,1,10,1
2018-11-01,1,4,1
2018-12-01,1,3,2
2019-01-01,1,7,2
2019-02-01,1,6,1
2019-03-01,1,6,1
2019-04-01,1,4,1
2019-05-01,1,5,1
2019-06-01,1,5,1
2019-07-01,1,5,1
2019-08-01,0,9,2
2019-09-01,1,10,6
2019-10-01,1,11,5
2019-11-01,1,10,5
2019-12-01,1,9,4
2020-01-01,1,16,5
2020-02-01,2,26,5
2020-03-01,1,18,5
2020-04-01,1,6,4
2020-05-01,1,5,5
2020-06-01,0,5,4
2020-07-01,1,5,4
2020-08-01,1,5,3
2020-09-01,1,9,4
2020-10-01,1,8,4
2020-11-01,1,10,4
2020-12-01,1,5,4
2021-01-01,1,5,6
2021-02-01,1,7,4
2021-03-01,0,9,4
2021-04-01,0,16,4
2021-05-01,1,9,4
2021-06-01,1,6,4
2021-07-01,0,6,4
2021-08-01,0,7,5
2021-09-01,1,7,4
2021-10-01,0,6,4
2021-11-01,0,6,4
2021-12-01,1,7,4
2022-01-01,1,6,8
2022-02-01,1,6,8
2022-03-01,1,9,11
2022-04-01,1,14,10
2022-05-01,0,12,9
2022-06-01,0,12,10
2022-07-01,0,15,12
2022-08-01,0,18,12
2022-09-01,1,12,12
2022-10-01,1,8,8
2022-11-01,1,9,7
2022-12-01,1,7,5
2023-01-01,0,9,6
2023-02-01,1,9,6
2023-03-01,0,9,6
2023-04-01,0,8,6
2023-05-01,0,7,5
2023-06-01,1,7,6
2023-07-01,0,6,5
2023-08-01,0,7,7
2023-09-01,0,9,12
2023-10-01,0,8,11
2023-11-01,0,5,12
2023-12-01,1,5,13
2024-01-01,0,6,17
2024-02-01,1,5,15
2024-03-01,1,5,24
2024-04-01,1,5,16
2024-05-01,1,5,16
2024-06-01,1,4,16
2024-07-01,0,4,15
2024-08-01,0,5,10
2024-09-01,0,5,10
2024-10-01,0,4,12
2024-11-01,0,4,11
2024-12-01,0,4,10
2025-01-01,1,4,14
2025-02-01,0,6,10
2025-03-01,0,4,10
2025-04-01,0,3,10
2025-05-01,0,3,10
2025-06-01,0,3,13
2025-07-01,0,3,13
2025-08-01,0,3,13
2025-09-01,0,3,12
2025-10-01,0,3,12
2025-11-01,0,4,12
2025-12-01,0,2,13
