year,Anti-corruption / Swaraj,Welfare / delivery,Nationalism / religion,n
2013,0.4865319069049342,1.177585897815453,0.08099132919792891,2
2014,0.33754340405858685,0.1882306320586487,0.15261506379044076,2
2015,0.15969070432005378,0.2689527651706169,0.15128593040847202,2
2016,0.08200082000820008,0.14350143501435014,0.0,2
2017,0.07486940099423159,0.6866110838646395,0.07878118416329219,2
2019,0.0,0.2932551319648094,0.5865102639296188,1
2021,0.013904338153503892,1.165263562231416,0.3536603420267123,2
2022,0.10365663503788544,1.357738421160227,0.11756481751387085,5
2023,0.32276828492665455,0.8824040190030452,0.20114461550696183,5
2024,0.19778544255331645,1.3990506403471734,0.1250789134030958,4
2025,0.0,1.6936778807085975,0.11428571428571428,2
2026,0.38795749660065504,0.5842602810190296,0.18479240172192585,5
