stem,n_theme,theme,n_tot,region,year,share
delhi2013,82,Anti-corruption / Swaraj,4153,Delhi,2013,0.019744762822056346
delhi2013,70,Development / services,4153,Delhi,2013,0.01685528533590176
delhi2013,0,Nationalism / religion,4153,Delhi,2013,0
delhi2013,14,Welfare / freebies,4153,Delhi,2013,0.0033710570671803513
delhi2015,65,Anti-corruption / Swaraj,5130,Delhi,2015,0.012670565302144249
delhi2015,70,Development / services,5130,Delhi,2015,0.01364522417153996
delhi2015,0,Nationalism / religion,5130,Delhi,2015,0
delhi2015,23,Welfare / freebies,5130,Delhi,2015,0.0044834307992202725
delhi2020,18,Anti-corruption / Swaraj,1632,Delhi,2020,0.011029411764705883
delhi2020,15,Development / services,1632,Delhi,2020,0.009191176470588236
delhi2020,2,Nationalism / religion,1632,Delhi,2020,0.0012254901960784314
delhi2020,13,Welfare / freebies,1632,Delhi,2020,0.007965686274509803
delhi2025,1,Anti-corruption / Swaraj,385,Delhi,2025,0.0025974025974025974
delhi2025,5,Development / services,385,Delhi,2025,0.012987012987012988
delhi2025,0,Nationalism / religion,385,Delhi,2025,0
delhi2025,23,Welfare / freebies,385,Delhi,2025,0.05974025974025974
LS2014,193,Anti-corruption / Swaraj,10269,National,2014,0.018794429837374622
LS2014,133,Development / services,10269,National,2014,0.012951601908657124
LS2014,9,Nationalism / religion,10269,National,2014,8.764241893076249e-4
LS2014,39,Welfare / freebies,10269,National,2014,0.0037978381536663743
LS2019,65,Anti-corruption / Swaraj,6847,National,2019,0.009493208704542136
LS2019,115,Development / services,6847,National,2019,0.016795676938805317
LS2019,2,Nationalism / religion,6847,National,2019,2.920987293705272e-4
LS2019,28,Welfare / freebies,6847,National,2019,0.004089382211187382
punjab,24,Anti-corruption / Swaraj,7427,Punjab,2017,0.0032314528073246265
punjab,132,Development / services,7427,Punjab,2017,0.017772990440285446
punjab,5,Nationalism / religion,7427,Punjab,2017,6.732193348592972e-4
punjab,123,Welfare / freebies,7427,Punjab,2017,0.01656119563753871
punjab2022,4,Anti-corruption / Swaraj,140,Punjab,2022,0.02857142857142857
punjab2022,5,Development / services,140,Punjab,2022,0.03571428571428571
punjab2022,0,Nationalism / religion,140,Punjab,2022,0
punjab2022,12,Welfare / freebies,140,Punjab,2022,0.08571428571428572
